t_contact_s,theta_err_t1_deg
0.508,9.212357271
0.509,9.212228997
0.51,9.211923576
0.511,9.211599117
0.512,9.211432478
0.513,9.211025974
0.514,9.210871278
0.515,9.210771382
0.516,9.210464525
0.517,9.210329672
0.518,9.209988947
0.519,9.209733794
0.52,9.20952752
0.521,9.209244035
0.522,9.208956056
0.523,9.20874478
0.524,9.208526449
0.525,9.20834782
0.526,9.208253434
0.527,9.207979465
0.528,9.207853166
0.529,9.207731279
0.53,9.207447414
0.531,9.207375697
0.532,9.20721385
0.533,9.207035682
0.534,9.20692912
0.535,9.206707367
0.536,9.206583717
0.537,9.206434966
0.538,9.206292656
0.539,9.206164063
0.54,9.205939667
0.541,9.205760651
0.542,9.205313571
0.543,9.205142365
0.544,9.20489294
0.545,9.204666299
0.546,9.204348124
0.547,9.204159277
0.548,9.203920518
0.549,9.203681172
0.55,9.203632747
0.551,9.203497983
0.552,9.203203536
0.553,9.203051182
0.554,9.202982773
0.555,9.202724154
0.556,9.202720204
0.557,9.202585441
0.558,9.202416672
0.559,9.202370215
0.56,9.202332159
0.561,9.202027761
0.562,9.201958557
0.563,9.201824709
0.564,9.201761183
0.565,9.201675216
0.566,9.20145396
0.567,9.201269902
0.568,9.201102337
0.569,9.200931186
0.57,9.200600298
0.571,9.200182963
0.572,9.199903239
0.573,9.199688178
0.574,9.199261214
0.575,9.199029486
0.576,9.198632552
0.577,9.198301997
0.578,9.197977811
0.579,9.197651938
0.58,9.197339482
0.581,9.197028401
0.582,9.196693303
0.583,9.196470839
0.584,9.196306309
0.585,9.196033547
0.586,9.1958604
0.587,9.195872779
0.588,9.19566106
0.589,9.195587781
0.59,9.195443654
0.591,9.19537901
0.592,9.195210988
0.593,9.195192955
0.594,9.194964639
0.595,9.194912733
0.596,9.19487297
0.597,9.194594272
0.598,9.194365207
0.599,9.194227809
0.6,9.193953601
0.601,9.193925333
0.602,9.193603174
0.603,9.193250934
0.604,9.193107741
0.605,9.193045398
0.606,9.192823455
0.607,9.192659975
0.608,9.192344266
0.609,9.192209222
0.61,9.191935766
0.611,9.191847646
0.612,9.191640368
0.613,9.191566662
0.614,9.191318908
0.615,9.191246885
0.616,9.191167828
0.617,9.190935045
0.618,9.190671181
0.619,9.190673718
0.62,9.190474508
0.621,9.190202133
0.622,9.190056215
0.623,9.189870554
0.624,9.189616604
0.625,9.189423687
0.626,9.189056899
0.627,9.188789492
0.628,9.188490561
0.629,9.18826909
0.63,9.18804591
0.631,9.187686641
0.632,9.187585856
0.633,9.187269262
0.634,9.186979942
0.635,9.186598599
0.636,9.1864089
0.637,9.186170337
0.638,9.185999004
0.639,9.185873314
0.64,9.18557925
0.641,9.185543325
0.642,9.185392239
0.643,9.185236996
0.644,9.185012068
0.645,9.184916021
0.646,9.184687198
0.647,9.184548032
0.648,9.184259109
0.649,9.184023649
0.65,9.183713939
0.651,9.183444017
0.652,9.183416687
0.653,9.183076673
0.654,9.182887282
0.655,9.182651248
0.656,9.182463588
0.657,9.182408551
0.658,9.182055029
0.659,9.181788664
0.66,9.181605334
0.661,9.181606854
0.662,9.181460791
0.663,9.181206419
0.664,9.181166101
0.665,9.18093522
0.666,9.180924796
0.667,9.180784331
0.668,9.180568235
0.669,9.180431308
0.67,9.180324177
0.671,9.180120387
0.672,9.180016676
0.673,9.179864997
0.674,9.179640923
0.675,9.179548556
0.676,9.179346724
0.677,9.179070617
0.678,9.178917633
0.679,9.178566163
0.68,9.178168328
0.681,9.177874045
0.682,9.177472161
0.683,9.177182148
0.684,9.176825076
0.685,9.176453261
0.686,9.17613604
0.687,9.175905525
0.688,9.175731377
0.689,9.175518216
0.69,9.175266111
0.691,9.174913582
0.692,9.174843549
0.693,9.174524196
0.694,9.174519566
0.695,9.174278009
0.696,9.174182445
0.697,9.174003664
0.698,9.173669795
0.699,9.173595497
0.7,9.173403866
0.701,9.173095756
0.702,9.172629477
0.703,9.172218826
0.704,9.17180616
0.705,9.171310059
0.706,9.170949991
0.707,9.170562096
0.708,9.170278533
0.709,9.169803399
0.71,9.169299754
0.711,9.16880765
0.712,9.168621845
0.713,9.168118768
0.714,9.167760987
0.715,9.167502163
0.716,9.167096908
0.717,9.16675492
0.718,9.166638057
0.719,9.166427495
0.72,9.166104033
0.721,9.16594464
